feature,VIF,estado
distance_to_goal,inf,Critica
is_in_area,inf,Critica
is_counter,inf,Critica
is_big_chance,inf,Critica
is_central,inf,Critica
shot_quality_index,inf,Critica
porteria_zone_center_low,82.2514873840167,Alta
is_right_foot,55.56864963076311,Alta
is_left_foot,48.5551805789417,Alta
porteria_zone_center_high,39.1980195247853,Alta
porteria_zone_center_mid,35.83703862719132,Alta
is_header,33.21592548800112,Alta
dist_angle,13.633850349763904,Alta
dist_squared,12.473411670705756,Alta
porteria_zone_right_low,12.167302855513858,Alta
porteria_zone_left_low,10.501059891978697,Alta
angle_to_goal,6.524474378452457,Moderada
buildup_unique_players,4.2203155934030345,Aceptable
buildup_passes,2.832498602812177,Aceptable
porteria_zone_left_mid,2.754374096861328,Aceptable
buildup_decentralized,2.123403731175011,Aceptable
first_touch,1.7441219216527757,Aceptable
porteria_zone_right_high,1.592772277066877,Aceptable
porteria_zone_left_high,1.505536191417887,Aceptable
from_corner,1.4010346627286951,Aceptable
altitude_of_play,1.313567068299157,Aceptable
ppda,1.2936879750718142,Aceptable
is_volley,1.2578792314322262,Aceptable
is_penalty,1.2363307782454591,Aceptable
home_win_rate,1.2082932831186763,Aceptable
home_bias,1.2026167450168488,Aceptable
is_set_piece,1.1879480417369828,Aceptable
home_xg_debt_5,1.0716895542461913,Aceptable
momentum,1.0714325314619466,Aceptable
clutch_ratio,1.0373857524372725,Aceptable
defensive_pressure,1.0337101649852962,Aceptable
pass_decentralization,1.0174357836587742,Aceptable
